id,utm_easting,utm_northing,canopy_top_m,canopy_radius_m,provenance
tree_101,681612.39,1191486.65,8.62,2.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_102,681577.14,1191485.65,15.49,6.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_103,681468.14,1191485.4,8.04,2.3,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_104,681577.14,1191485.4,15.49,6.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_105,681606.39,1191483.4,10.05,3.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_106,681489.14,1191482.4,15.43,2.37,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_107,681371.39,1191481.65,10.35,3.72,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_108,681453.89,1191479.65,13.14,5.3,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_109,681596.64,1191477.4,12.08,3.58,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_110,681596.89,1191477.4,12.08,3.58,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_111,681557.64,1191477.15,10.63,3.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_112,681557.89,1191477.15,10.63,3.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_113,681558.14,1191477.15,10.63,3.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_114,681476.89,1191476.9,20.01,5.76,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_115,681476.89,1191476.65,19.91,5.76,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_116,681542.89,1191474.65,13.78,6.56,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_117,681511.14,1191474.15,10.36,6.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_118,681529.89,1191471.65,14.02,5.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_119,681488.39,1191471.4,20.58,5.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_120,681399.89,1191469.65,15.43,5.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_121,681400.14,1191469.65,15.43,5.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_122,681392.39,1191468.65,15.01,4.96,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_123,681526.39,1191468.65,16.66,5.39,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_124,681583.64,1191467.9,17.17,3.91,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_125,681464.39,1191466.4,13.18,7.29,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_126,681575.64,1191466.4,14.45,3.58,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_127,681512.64,1191466.15,11.12,8.07,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_128,681387.89,1191465.15,14.35,5.76,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_129,681536.64,1191464.15,11.91,2.8,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_130,681622.64,1191462.65,19.41,3.35,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_131,681622.64,1191462.4,19.41,3.35,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_132,681455.14,1191462.15,13.67,5.84,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_133,681532.14,1191462.15,14.64,2.55,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_134,681454.89,1191461.9,13.67,5.84,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_135,681454.64,1191461.65,13.67,5.84,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_136,681480.89,1191461.4,11.67,2.76,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_137,681635.64,1191460.65,19.42,4.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_138,681635.89,1191460.65,19.4,4.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_139,681636.14,1191460.65,19.36,4.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_140,681636.39,1191460.65,19.33,4.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_141,681636.64,1191460.65,19.31,4.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_142,681636.89,1191460.65,19.3,4.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_143,681507.64,1191460.4,18.94,7.15,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_144,681639.89,1191460.4,20.17,5.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_145,681444.89,1191457.15,15.36,7.16,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_146,681643.14,1191455.9,20.34,5.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_147,681643.14,1191455.65,20.34,5.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_148,681616.14,1191453.65,18.56,4.51,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_149,681605.39,1191452.9,17.81,2.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_150,681629.14,1191452.65,17.94,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_151,681428.64,1191452.4,8.96,2.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_152,681428.64,1191452.15,8.96,2.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_153,681467.64,1191452.15,17.39,3.35,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_154,681428.64,1191451.9,8.96,2.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_155,681623.64,1191451.65,17.8,1.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_156,681462.39,1191451.4,14.44,3.35,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_157,681370.89,1191448.9,17.97,5.62,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_158,681361.14,1191448.15,13.31,2.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_159,681554.39,1191447.15,16.68,7.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_160,681521.39,1191446.15,12.19,2.69,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_161,681608.14,1191445.9,19.21,3.91,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_162,681446.89,1191444.9,16.72,3.13,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_163,681446.89,1191444.65,16.61,3.13,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_164,681412.39,1191444.15,12.1,4.27,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_165,681412.64,1191444.15,12.1,4.27,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_166,681350.39,1191443.9,23.86,3.72,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_167,681349.89,1191443.65,24.34,3.72,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_168,681350.14,1191443.65,24.28,3.72,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_169,681472.64,1191443.65,9.78,4.3,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_170,681349.89,1191443.4,24.44,3.72,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_171,681591.14,1191441.65,21.8,5.02,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_172,681538.64,1191439.65,18.56,8.86,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_173,681628.64,1191439.65,28.19,7.76,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_174,681614.89,1191436.65,20.43,4.03,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_175,681420.89,1191436.4,16.13,4.92,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_176,681400.89,1191435.4,13.59,5.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_177,681618.39,1191435.4,20.26,4.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_178,681618.64,1191435.4,20.26,4.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_179,681573.39,1191434.4,19.65,3.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_180,681390.14,1191432.65,10.89,2.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_181,681390.14,1191432.4,10.98,2.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_182,681390.14,1191432.15,11.28,2.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_183,681608.89,1191432.15,21.53,5.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_184,681390.14,1191431.9,11.84,2.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_185,681390.14,1191431.65,13.56,2.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_186,681390.14,1191431.4,13.97,2.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_187,681390.14,1191431.15,14.14,2.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_188,681489.14,1191430.65,19.08,2.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_189,681436.89,1191428.4,15.61,4.72,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_190,681405.14,1191427.9,15.48,6.05,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_191,681617.89,1191427.9,21.12,3.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_192,681427.39,1191427.65,16.93,6.36,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_193,681617.89,1191427.65,21.12,3.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_194,681581.39,1191427.4,22.28,3.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_195,681617.89,1191427.4,21.12,3.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_196,681581.14,1191427.15,22.28,3.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_197,681581.39,1191427.15,22.28,3.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_198,681617.89,1191427.15,21.12,3.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_199,681617.89,1191426.9,21.12,3.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_200,681493.64,1191426.4,20.6,4.03,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_201,681555.64,1191426.4,16.48,2.15,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_202,681642.89,1191426.15,27.56,5.02,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
